2022-05-04 10:00:17 startup archives unpack
2022-05-04 10:00:17 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-05-04 10:00:17 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-05-04 10:00:18 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-05-04 10:00:18 install libgdbm6:amd64 <none> 1.19-2
2022-05-04 10:00:18 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-05-04 10:00:18 status half-installed libgdbm6:amd64 1.19-2
2022-05-04 10:00:18 status unpacked libgdbm6:amd64 1.19-2
2022-05-04 10:00:18 install libgdbm-compat4:amd64 <none> 1.19-2
2022-05-04 10:00:18 status half-installed libgdbm-compat4:amd64 1.19-2
2022-05-04 10:00:18 status unpacked libgdbm-compat4:amd64 1.19-2
2022-05-04 10:00:18 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-05-04 10:00:18 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:18 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:18 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-05-04 10:00:18 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:18 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:18 install libwrap0:amd64 <none> 7.6.q-31
2022-05-04 10:00:18 status half-installed libwrap0:amd64 7.6.q-31
2022-05-04 10:00:18 status unpacked libwrap0:amd64 7.6.q-31
2022-05-04 10:00:18 install rpcbind:amd64 <none> 1.2.5-9
2022-05-04 10:00:18 status half-installed rpcbind:amd64 1.2.5-9
2022-05-04 10:00:19 status unpacked rpcbind:amd64 1.2.5-9
2022-05-04 10:00:19 install uuid-runtime:amd64 <none> 2.36.1-8+deb11u1
2022-05-04 10:00:19 status half-installed uuid-runtime:amd64 2.36.1-8+deb11u1
2022-05-04 10:00:19 status unpacked uuid-runtime:amd64 2.36.1-8+deb11u1
2022-05-04 10:00:19 install libelf1:amd64 <none> 0.183-1
2022-05-04 10:00:19 status half-installed libelf1:amd64 0.183-1
2022-05-04 10:00:19 status unpacked libelf1:amd64 0.183-1
2022-05-04 10:00:19 install libbpf0:amd64 <none> 1:0.3-2
2022-05-04 10:00:19 status half-installed libbpf0:amd64 1:0.3-2
2022-05-04 10:00:19 status unpacked libbpf0:amd64 1:0.3-2
2022-05-04 10:00:19 install libmd0:amd64 <none> 1.0.3-3
2022-05-04 10:00:19 status half-installed libmd0:amd64 1.0.3-3
2022-05-04 10:00:19 status unpacked libmd0:amd64 1.0.3-3
2022-05-04 10:00:19 install libbsd0:amd64 <none> 0.11.3-1
2022-05-04 10:00:19 status half-installed libbsd0:amd64 0.11.3-1
2022-05-04 10:00:19 status unpacked libbsd0:amd64 0.11.3-1
2022-05-04 10:00:19 install libcap2:amd64 <none> 1:2.44-1
2022-05-04 10:00:19 status half-installed libcap2:amd64 1:2.44-1
2022-05-04 10:00:19 status unpacked libcap2:amd64 1:2.44-1
2022-05-04 10:00:19 install libmnl0:amd64 <none> 1.0.4-3
2022-05-04 10:00:19 status half-installed libmnl0:amd64 1.0.4-3
2022-05-04 10:00:19 status unpacked libmnl0:amd64 1.0.4-3
